model_type,f1_score,accuracy,params
MLP,0.591,0.798,"{""hidden_units"": 64,""dropout_rate"": 0.5,""learning_rate"": 0.001,""batch_size"": 32,""dense_activation"": ""relu"",""epochs"": 10}"
MLP,0.585,0.798,"{""hidden_units"": 64,""dropout_rate"": 0.3,""learning_rate"": 0.001,""batch_size"": 32,""dense_activation"": ""relu"",""epochs"": 10}"
MLP,0.569,0.794,"{""hidden_units"": 64,""dropout_rate"": 0.3,""learning_rate"": 0.001,""batch_size"": 32,""dense_activation"": ""tanh"",""epochs"": 10}"
MLP,0.564,0.79,"{""hidden_units"": 64,""dropout_rate"": 0.5,""learning_rate"": 0.001,""batch_size"": 32,""dense_activation"": ""tanh"",""epochs"": 10}"
MLP,0.544,0.802,"{""hidden_units"": 32,""dropout_rate"": 0.3,""learning_rate"": 0.001,""batch_size"": 32,""dense_activation"": ""relu"",""epochs"": 10}"
MLP,0.537,0.79,"{""hidden_units"": 32,""dropout_rate"": 0.5,""learning_rate"": 0.001,""batch_size"": 32,""dense_activation"": ""relu"",""epochs"": 10}"
MLP,0.535,0.794,"{""hidden_units"": 32,""dropout_rate"": 0.3,""learning_rate"": 0.001,""batch_size"": 32,""dense_activation"": ""tanh"",""epochs"": 10}"
MLP,0.525,0.798,"{""hidden_units"": 32,""dropout_rate"": 0.5,""learning_rate"": 0.001,""batch_size"": 32,""dense_activation"": ""tanh"",""epochs"": 10}"
MLP,0.522,0.79,"{""hidden_units"": 64,""dropout_rate"": 0.3,""learning_rate"": 0.001,""batch_size"": 64,""dense_activation"": ""relu"",""epochs"": 10}"
MLP,0.498,0.782,"{""hidden_units"": 64,""dropout_rate"": 0.3,""learning_rate"": 0.001,""batch_size"": 64,""dense_activation"": ""tanh"",""epochs"": 10}"
MLP,0.487,0.786,"{""hidden_units"": 64,""dropout_rate"": 0.5,""learning_rate"": 0.001,""batch_size"": 64,""dense_activation"": ""relu"",""epochs"": 10}"
MLP,0.486,0.786,"{""hidden_units"": 64,""dropout_rate"": 0.5,""learning_rate"": 0.001,""batch_size"": 64,""dense_activation"": ""tanh"",""epochs"": 10}"
MLP,0.418,0.756,"{""hidden_units"": 32,""dropout_rate"": 0.3,""learning_rate"": 0.001,""batch_size"": 64,""dense_activation"": ""relu"",""epochs"": 10}"
MLP,0.342,0.756,"{""hidden_units"": 32,""dropout_rate"": 0.3,""learning_rate"": 0.001,""batch_size"": 64,""dense_activation"": ""tanh"",""epochs"": 10}"
MLP,0.312,0.752,"{""hidden_units"": 32,""dropout_rate"": 0.5,""learning_rate"": 0.001,""batch_size"": 64,""dense_activation"": ""relu"",""epochs"": 10}"
MLP,0.278,0.737,"{""hidden_units"": 32,""dropout_rate"": 0.5,""learning_rate"": 0.001,""batch_size"": 64,""dense_activation"": ""tanh"",""epochs"": 10}"
