url,start_date,end_date
https://x.com/Kon__K,2023-10-07T00:00:00.000Z,
https://x.com/ausvstheagenda,2023-10-07T00:00:00.000Z,
https://x.com/Partisangirl,2023-10-07T00:00:00.000Z,
https://x.com/JJKALE2,2023-10-07T00:00:00.000Z,
https://x.com/pepedownunder,2023-10-07T00:00:00.000Z,
https://x.com/MannieMighty1,2023-10-07T00:00:00.000Z,
https://x.com/Prolotario1,2023-10-07T00:00:00.000Z,
https://x.com/RedPillSayian,2023-10-07T00:00:00.000Z,
https://x.com/jacobhersant,2023-10-07T00:00:00.000Z,
https://x.com/gazaheart,2023-10-07T00:00:00.000Z,
https://x.com/DavidShoebridge,2023-10-07T00:00:00.000Z,
https://x.com/AdamBandt,2023-10-07T00:00:00.000Z,
https://x.com/vic_socialists,2023-10-07T00:00:00.000Z,
https://x.com/cirnosad,2023-10-07T00:00:00.000Z,
https://x.com/RadioNational,2023-10-07T00:00:00.000Z,
https://x.com/CensoredMen,2023-10-07T00:00:00.000Z,
https://x.com/AnimarchyYT,2023-10-07T00:00:00.000Z,
https://x.com/TheGuyPearce,2023-10-07T00:00:00.000Z,
https://x.com/MaryKostakidis,2023-10-07T00:00:00.000Z,
https://x.com/WhiteAusZoomer,2023-10-07T00:00:00.000Z,
https://x.com/SuppressedNws,2023-10-07T00:00:00.000Z,
https://x.com/david_r_morgan,2023-10-07T00:00:00.000Z,
https://x.com/ornery_owls,2023-10-07T00:00:00.000Z,
https://x.com/DaveSharma,2023-10-07T00:00:00.000Z,
https://x.com/BillboardChris,2023-10-07T00:00:00.000Z,
https://x.com/AJGardineresq,2023-10-07T00:00:00.000Z,
https://x.com/Gentilenewsnet,2023-10-07T00:00:00.000Z,
https://x.com/_Jase_C_,2023-10-07T00:00:00.000Z,
https://x.com/SenatorPayman,2023-10-07T00:00:00.000Z,
https://x.com/PPC4Liberty,2023-10-07T00:00:00.000Z,
https://x.com/jorymicah,2023-10-07T00:00:00.000Z,
https://x.com/Angelic_Air,2023-10-07T00:00:00.000Z,
